crawled,title,href,字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9
1593741779,厦门奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/5dfdc59daf96862bx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593741779,厦门奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/5dfdc59daf96862bx.htm,标配/标配,标配/-,标配/标配,-,标配,标配,-,标配,标配
1593741779,厦门奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/5dfdc59daf96862bx.htm,标配,标配,-,-,-,标配,标配/标配,标配,-
1593741779,厦门奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/5dfdc59daf96862bx.htm,标配,-,-,手动,-,标配,-,-,-/-
1593741780,中山奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zhongshan/e90251ff500372acx.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593741780,中山奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zhongshan/e90251ff500372acx.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741780,中山奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zhongshan/e90251ff500372acx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593741780,中山奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zhongshan/e90251ff500372acx.htm,标配/标配,标配/选配,标配/-,标配,标配,标配,选配,标配,标配
1593741780,中山奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zhongshan/e90251ff500372acx.htm,标配,-,-,-,选配,标配,标配/标配,标配,选配
1593741780,中山奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zhongshan/e90251ff500372acx.htm,标配,选配,-,自动,选配,标配,选配,标配,选配/-
1593741807,深圳奥迪A3 2010款 Sportback 1.4T 豪华型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/9bcc6dd44174ef06x.htm,奥迪(进口),紧凑型车,1.4T/125马力/L4,7挡双离合,5门5座两厢车,4292/1765/1423,2578,370-1100,-
1593741807,深圳奥迪A3 2010款 Sportback 1.4T 豪华型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/9bcc6dd44174ef06x.htm,1.4,涡轮增压,4缸,125,200,汽油,95号,直喷,欧4
1593741807,深圳奥迪A3 2010款 Sportback 1.4T 豪华型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/9bcc6dd44174ef06x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,225/45 R17,225/45 R17
1593741807,深圳奥迪A3 2010款 Sportback 1.4T 豪华型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/9bcc6dd44174ef06x.htm,标配/标配,标配/-,标配/标配,标配,标配,标配,-,标配,标配
1593741807,深圳奥迪A3 2010款 Sportback 1.4T 豪华型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/9bcc6dd44174ef06x.htm,标配,标配,-,-,标配,标配,标配/标配,标配,标配
1593741807,深圳奥迪A3 2010款 Sportback 1.4T 豪华型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/9bcc6dd44174ef06x.htm,-,-,-,自动,-,标配,-,-,-/-
1593741807,温州奥迪A3 2014款 Sportback 35 TFSI 自动时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wenzhou/511bad5f86c42e5cx.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593741807,温州奥迪A3 2014款 Sportback 35 TFSI 自动时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wenzhou/511bad5f86c42e5cx.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741807,温州奥迪A3 2014款 Sportback 35 TFSI 自动时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wenzhou/511bad5f86c42e5cx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593741807,温州奥迪A3 2014款 Sportback 35 TFSI 自动时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wenzhou/511bad5f86c42e5cx.htm,标配/标配,标配/选配,标配/-,选配,标配,标配,选配,标配,标配
1593741807,温州奥迪A3 2014款 Sportback 35 TFSI 自动时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wenzhou/511bad5f86c42e5cx.htm,标配,-,-,-,选配,标配,标配/标配,标配,选配
1593741807,温州奥迪A3 2014款 Sportback 35 TFSI 自动时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wenzhou/511bad5f86c42e5cx.htm,选配,选配,-,-,选配,标配,选配,-,选配/-
1593741834,苏州奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/e92f17dff9d11c28x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1426,2629,380-1220,1340
1593741834,苏州奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/e92f17dff9d11c28x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741834,苏州奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/e92f17dff9d11c28x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593741834,苏州奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/e92f17dff9d11c28x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,选配,标配,标配
1593741834,苏州奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/e92f17dff9d11c28x.htm,标配,标配,-,-,选配,标配,标配/标配,标配,选配
1593741834,苏州奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/e92f17dff9d11c28x.htm,标配,选配,-,-,选配,标配,选配,-,选配/-
1593741835,运城奥迪A3 2017款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yuncheng/39f88502315bb583x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4312/1785/1426,2629,380-1220,1340
1593741835,运城奥迪A3 2017款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yuncheng/39f88502315bb583x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国5
1593741835,运城奥迪A3 2017款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yuncheng/39f88502315bb583x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593741835,运城奥迪A3 2017款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yuncheng/39f88502315bb583x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,选配,标配,标配
1593741835,运城奥迪A3 2017款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yuncheng/39f88502315bb583x.htm,选配,选配,-,-,标配,标配,标配/标配,标配,选配
1593741835,运城奥迪A3 2017款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yuncheng/39f88502315bb583x.htm,选配,选配,-,-,-,标配,-,-,-/-
1593741861,扬州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yangzhou/3da36f1ed0b8f8eex.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593741861,扬州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yangzhou/3da36f1ed0b8f8eex.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741861,扬州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yangzhou/3da36f1ed0b8f8eex.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593741861,扬州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yangzhou/3da36f1ed0b8f8eex.htm,标配/标配,标配/选配,标配/-,选配,标配,标配,选配,标配,标配
1593741861,扬州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yangzhou/3da36f1ed0b8f8eex.htm,选配,选配,-,-,选配,标配,标配/标配,标配,选配
1593741861,扬州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yangzhou/3da36f1ed0b8f8eex.htm,选配,选配,-,-,选配,标配,选配,-,选配/-
1593741861,合肥奥迪A3 2015款 Sportback 35 TFSI 百万纪念舒享型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/hf/4b84f7bfdbe152d1x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
